student_id,course_name,issuer_id,credential_hash,institution_frequency,degree_length,name_complexity,hash_valid,duplicate_hash,course_name_freq,issuer_id_freq,anomaly_label,anomaly_score
Olivia Smith,PGCert Project Management,University of Edinburgh,0xa3d93a72e2239bf8f9bcb10e4a818855aa386eab1121ad769c5afcb69270d06c,3,25,2,True,0,0.21052631578947367,0.15789473684210525,1,0.010676781279549852
James Thomas,BA Business Management,University of Liverpool,0x3a658f1ee0441ff125b0ae1a3f1373f09057759ec8e170995a7497a43d883fde,2,22,2,True,0,0.15789473684210525,0.10526315789473684,1,0.09875019064419105
Liam Chopra,MSc Cyber Security,University of London,0xc7d52d16732cc5dacff6622534699b59e29e3eef1dc075d8db23489cf93ae0f4,2,18,2,True,0,0.10526315789473684,0.10526315789473684,1,0.07122094734442863
John Williams,MSc Artificial Intelligence,University of Edinburgh,0x6560f8392044d9ffe84778f47f9934c98a7d476e53853c79857cbcd519a1e7ac,3,27,2,True,0,0.10526315789473684,0.15789473684210525,1,0.03184969087222145
Simran Bansal,BSc Computer Science,University of Liverpool,0x4cf7c125b96e78825641d0a9d4dfaba1756141a1f72e12a65432e9bc9de39d97,2,20,2,True,0,0.05263157894736842,0.10526315789473684,1,0.0772057602101604
Amelia Verma,MSc Cyber Security,University of Edinburgh,0x5d170354aa7b98c3fbd1225559040a79f1574aa8dd4544f27e45e226f534b110,3,18,2,True,0,0.10526315789473684,0.15789473684210525,1,0.013989408940743187
Neha Chopra,PGCert Project Management,University of Greenwich,0xf7aaf5498e123e642cf95c17fb4d62d012a5208868978eb56b564649b8f27c4c,1,25,2,True,0,0.21052631578947367,0.05263157894736842,-1,-0.030987747433466106
Sophia Chaudhary,BEng Software Engineering,University of Southampton,0xdafa68cf22d1c848505c78cb1a1f9d2663225a6bcb0b51f220a04496d665bf47,2,25,2,True,0,0.10526315789473684,0.10526315789473684,1,0.07336777501519348
Mia White,BEng Software Engineering,University of Birmingham,0x710a5eade4fb8e6f4607c091cf5abbfcd62c6d55bf4005f450e6cf2434aa1410,1,25,2,True,0,0.10526315789473684,0.05263157894736842,1,0.0344899176230824
Liam Kapoor,BA Business Management,University College London,0x58a9dade774384b160dd1d666eded4d586cb915f02316fc491e3f10d1404fe17,2,22,2,True,0,0.15789473684210525,0.10526315789473684,1,0.09875019064419105
Ishaan Bansal,PGCert Project Management,University of London,0x3feee285da06b0f989d66d0178d84ee72f9785622ecaab7efdddf832a9e151ba,2,25,2,True,0,0.21052631578947367,0.10526315789473684,1,0.007746936858366582
Varun Verma,BA Business Management,University of Warwick,0x0fd767af495ae82a9640316e09be589db1f2fa10be9801cc5c87c51165541cf6,1,22,2,True,0,0.15789473684210525,0.05263157894736842,1,0.014235340773015248
Liam Joshi,PGDip Data Analytics,Queen Mary University of London,0xb02d44c62dfbf2db7d7968f7b484a102fb2e834d0194ac09c1ec754d6261ecb4,1,20,2,True,0,0.10526315789473684,0.05263157894736842,1,0.02652922064558938
Ananya Ghosh,MSc Artificial Intelligence,University of Manchester,0xaec57cc60d8c439f42c7d57a63f7b1f9fcf82d454c4cfb228f24835753f6c591,3,27,2,True,0,0.10526315789473684,0.15789473684210525,1,0.03184969087222145
Rahul Harris,PGDip Data Analytics,University of Manchester,0xb39a35bccb65d63755845ff162416b375db40acc1490c318719b631273389d7c,3,20,2,True,0,0.10526315789473684,0.15789473684210525,1,0.03260423673110402
James Jones,BSc Cyber Security,University of Southampton,0x2961c897e3e110d80c94f97243ef7c4d0d53c25e3cc15dbddaf05c53e1dc4663,2,18,2,True,0,0.05263157894736842,0.10526315789473684,1,0.05973288249258207
Varun Mehta,MSc Business Analytics,University College London,0xe563cb8cba9264abdd587c901b3b43bf4f632c412321b63ab2365afa4b655749,2,22,2,True,0,0.05263157894736842,0.10526315789473684,1,0.07336190609000048
Ishaan White,PGCert Project Management,University of Manchester,0x813604cfd658758928c2bdaecbe2b967be9f630c60976e5e8e1ae6ebdb017c48,3,25,2,True,0,0.21052631578947367,0.15789473684210525,1,0.010676781279549852
Ira Walker,MBA,University of Bristol,0x0f3414bf94c230ac8384f13231b90b60062bd06867f5fc7057bc06c1ee19f9d5,1,3,2,True,0,0.05263157894736842,0.05263157894736842,-1,-0.14247400316343506
